Publisher,Count
Electronic Arts,173
Ubisoft,122
Activision,103
Eidos Interactive,78
Sega,71
Atari,63
,61
EA Sports,58
THQ,54
Sierra Entertainment,50
Codemasters,43
 Inc.",40
Capcom,39
Microsoft Game Studios,39
Konami,37
LucasArts,35
Microsoft,35
Sierra On-Line,35
EA Games,34
Infogrames,32
Interplay Entertainment,31
Paradox Interactive,27
Strategy First,24
Valve,24
3DO,23
Empire Interactive,22
Psygnosis,22
GT Interactive,21
2K Sports,20
Hasbro Interactive,20
Midway Games,20
PopCap Games,20
Spiderweb Software,19
2K Games,18
Activision Value,18
Bethesda Softworks,17
Gathering of Developers,17
Sony Online Entertainment,17
Blizzard Entertainment,16
Virgin Interactive,16
Big Fish Games,15
DreamCatcher,15
Square Enix,15
Team Shanghai Alice,15
The Learning Company,15
Acclaim Entertainment,14
NovaLogic,14
Deep Silver,13
Disney Interactive,13
Disney Interactive Studios,13
Humongous Entertainment,13
The Adventure Company,13
Global Star Software,12
Rockstar Games,12
TalonSoft,12
Vivendi Universal,12
WizardWorks,12
Cryo Interactive,11
JoWood Productions,11
Koei,11
Microids,11
Microprose,11
1C Company,10
CDV,10
DreamCatcher Interactive,10
Knowledge Adventure,10
Microsoft Studios,10
Mindscape,10
NCsoft,10
Telltale Games,10
Acclaim,9
Maxis,9
Milestone srl,9
Simon & Schuster Interactive,9
"Blizzard Entertainment,8
"Strategic Simulations,8
Fox Interactive,8
Matrix Games,8
MicroProse,8
PlayFirst,8
"1C Company,7
"Activision,7
Bandai Namco Entertainment,7
CDV Software,7
Focus Home Interactive,7
JoWooD Productions,7
Lego Media,7
Lighthouse Interactive,7
Majesco Entertainment,7
Nihon Falcom,7
Reflexive Entertainment,7
Sierra Studios,7
ValuSoft,7
 LLC",6
"Ubisoft,6
505 Games,6
Accolade,6
Kalypso Media,6
MumboJumbo,6
Namco Bandai Games,6
Red Storm Entertainment,6
SouthPeak Games,6
Stardock,6
Take-Two Interactive,6
Wanadoo Edition,6
 Ltd.",5
 Team Shanghai Alice",5
"Atari,5
"LucasArts,5
"SCi,5
ASC Games,5
Digital Jesters,5
DreamCatcher Games,5
Dreamcatcher Interactive,5
Groove Games,5
Her Interactive,5
Illusion,5
Monolith Productions,5
Namco,5
SEGA,5
SegaSoft,5
Shrapnel Games,5
Sierra Online,5
Team17,5
Virgin Interactive Entertainment,5
 HB Studios",4
"Acclaim Entertainment,4
"Activision Publishing,4
"Deep Silver,4
"Electronic Arts,4
"Strategy First,4
BMG Interactive,4
Blue Byte,4
Bungie,4
City Interactive,4
Daedalic Entertainment,4
GameHouse,4
GarageGames,4
Gremlin Interactive,4
Lego Software,4
Monte Cristo,4
NCSoft,4
Ratbag Games,4
Rovio Entertainment,4
SCi,4
SCi Games Ltd.,4
Simon & Schuster,4
Sunflowers,4
Superior Interactive,4
THQ Nordic,4
Taito,4
Vivendi Games,4
Vivendi Universal Games,4
Warner Bros. Interactive Entertainment,4
WayForward,4
 EA Canada",3
 EA Romania",3
 Inc",3
 PopCap Games",3
"Buka Entertainment,3
"Crystal Dynamics,3
"CyberFront Corporation,3
"Destineer,3
"DreamCatcher Interactive,3
"Empire Interactive,3
"Encore Software,3
"Infogrames,3
"Interplay Entertainment,3
"Majesco Entertainment,3
"Maxis,3
"Namco,3
"Paradox Interactive,3
"Take-Two Interactive,3
"The Adventure Company,3
"Valve,3
7th Level,3
ARUSH Entertainment,3
Adventure Soft,3
Aquaplus,3
Awem,3
Battlefront.com,3
Brøderbund,3
Buena Vista Games,3
Caravel Games,3
Cenega,3
D3 Publisher,3
DTP Entertainment,3
Digital Pictures,3
Eidos,3
Enlight,3
Funcom,3
Head Games Publishing,3
Independent,3
Interplay Productions,3
Introversion Software,3
Jaleco,3
King,3
Koei Tecmo,3
Left Behind Games,3
Legacy Interactive,3
Legendo Entertainment,3
Llamasoft,3
Microsoft Games,3
Midway,3
Navel,3
Nexon,3
Nicalis,3
Nitroplus,3
Oxygen Interactive,3
Peach Princess,3
Playlogic Entertainment,3
Playlogic International,3
Positech Games,3
Sierra Sports,3
Spike Chunsoft,3
Techland,3
Technical Group Laboratory,3
Tri Synergy,3
Versus Evil,3
Xbox Game Studios,3
id Software,3
 Amaze Entertainment",2
 Beenox,2
 Budcat Creations",2
 Digital Extremes",2
 Illusion Softworks",2
 LucasArts",2
 Magic Wand Productions,2
 Nitro Games",2
 Nitroplus",2
 S.L.",2
 Sega-AM4",2
 Shaba Games",2
 SingleTrac",2
 Sonic Team",2
 Stormfront Studios",2
 Superscape",2
 Sylum Entertainment",2
 Vicarious Visions,2
 WildTangent",2
"1C,2
"2K Games,2
"Activision Value Publishing,2
"Atlus,2
"Black Isle Studios,2
"Capcom Entertainment,2
"Codemasters,2
"Conspiracy Entertainment,2
"Digital Jesters,2
"Eidos Interactive,2
"G-Collections,2
"Gamers Gate,2
"Got Game Entertainment,2
"Gremlin Interactive,2
"Janes Combat Simulations,2
"KID,2
"MicroProse,2
"Microids,2
"Nihon Falcom,2
"Oxygen Interactive,2
"Pocketwatch Games,2
"Scavenger,2
"Sony Computer Entertainment,2
"Sony Online Entertainment,2
"Sourcenext,2
"Square Co.,2
"THQ,2
"ValuSoft,2
"Webzen,2
5pb.,2
989 Sports,2
Access Software,2
Activision Value Publishing,2
Akella,2
Amanita Design,2
Anarchy Enterprises,2
Arcane Kids,2
Aspyr Media,2
Atlus,2
BBC Multimedia,2
BHV Software,2
Basilisk Games,2
Black Bean Games,2
Bold Games,2
Brash Entertainment,2
Broderbund,2
Buka Entertainment,2
Byron Preiss Multimedia,2
Crave Entertainment,2
Dar al-Fikr,2
Davilex Games,2
Delta Tao Software,2
Digital Entertainment Pool,2
Double Fine Productions,2
EON Digital Entertainment,2
Enlight Software,2
Evolved Games,2
FDG Entertainment,2
Fishtank Interactive,2
Focus Multimedia Ltd.,2
Frictional Games,2
GSC World Publishing,2
GTE Entertainment,2
Gambitious,2
Gamecock Media Group,2
Got Game Entertainment,2
Gotham Games,2
Headup Games,2
Iceberg Interactive,2
Ignition Entertainment,2
Innocent Grey,2
Intellivision Productions,2
JoWooD,2
JoWood,2
Klei Entertainment,2
Kutoka Interactive,2
Legend Entertainment,2
Longbow Digital Arts,2
MECC,2
Mattel,2
Mattel Media,2
Meridian4,2
Micro Application,2
Moonpod,2
New World Computing,2
Novalogic,2
Oxygen Games,2
Pangea Software,2
Play Ten Interactive,2
Quantum Axcess,2
Rainbow Games,2
Red Barrels,2
Red Orb Entertainment,2
SNK,2
Scholastic,2
Shiro Games,2
SimBin Studios,2
Sir-Tech,2
Sir-tech,2
Software Toolworks,2
StarWraith 3D Games,2
Strategic Simulations,2
TDK Mediactive,2
Take Two Interactive,2
The Walt Disney Company,2
Third Wire Productions,2
Tilted Mill Entertainment,2
Unknown Worlds Entertainment,2
Valcon Games,2
Virgin Games,2
Viva Media,2
Zoo Digital Publishing,2
iWin,2
insani,2
 3DO",1
 ATMOS",1
 AWE Games",1
 Acclaim Studios Croydon",1
 Andy Yau",1
 Argonaut Games,1
 Asobo Studio,1
 Aspyr",1
 Atomic Planet Entertainment",1
 BROCCOLI",1
 Babaroga",1
 Backbone Entertainment",1
 Barking Lizards Technologies",1
 Beenox Studios",1
 Beenox",1
 Behaviour Interactive",1
 Ben Garney",1
 Big Blue Box",1
 Big Sky Interactive,1
 Bird Studio,1
 Blizzard Entertainment",1
 Blue Planet Software,1
 Cajji Software",1
 Canal+ Multimedia,1
 Canal+ Multimedia",1
 Capcom",1
 Climax Group",1
 Codemasters,1
 Coyote Console",1
 Creat Studios,1
 Creative Asylum Limited",1
 Criterion Games",1
 Cyberfront",1
 Delfin",1
 Digital Eclipse Software",1
 Digital Mayhem",1
 Digital Spray Studios",1
 Double Helix Games",1
 Dwango",1
 EA Bucharest",1
 EA Seattle",1
 EA Singapore",1
 EA UK",1
 Eduweb",1
 Electronic Arts,1
 Electronic Arts",1
 Ensemble Studios",1
 Epic Games",1
 Epic MegaGames",1
 Eurocom",1
 FASA Studio",1
 FPC",1
 FUN Labs,1
 Firebrand Games",1
 Flipside Ltd.",1
 Floodgate Entertainment,1
 Full Fat",1
 Fun Labs,1
 Futureport,1
 GameHouse",1
 GarageGames",1
 Gearbox Software,1
 Gearbox Software",1
 Glu Mobile",1
 Gravity Interactive,1
 Griptonite Games,1
 HB Studios Multimedia",1
 Heavy Iron Studios,1
 High Voltage Software",1
 Impressions Games",1
 Index+",1
 Infinite Interactive",1
 Interplay,1
 Iron Claw Interactive",1
 Ironstone Partners",1
 Jamdat",1
 Jeff McBride",1
 Jellyvision",1
 Josh Mandel",1
 Kinesoft",1
 Kojima Productions",1
 Kranx Productions",1
 Kylotonn",1
 L.L.C.",1
 LLC,1
 Leaping Lizard",1
 Lee Salzman,1
 Llamasoft",1
 Looking Glass Studios",1
 Luca Cammisa",1
 MGAME Corp.",1
 MPCA Interactive",1
 Mad Doc Software",1
 Martech Software",1
 Maxis",1
 Merscom",1
 Michal Marcinkowski",1
 Moon Byte Studios,1
 Mountain Sheep",1
 Mzone Studio,1
 NStorm,1
 Near Death Studios",1
 Night Dive Studios",1
 Nimonix",1
 Nixxes,1
 O2 Online Entertainment",1
 Omega Force",1
 Opus,1
 Oscar Chu",1
 Pacific Coast Power & Light,1
 Pacific Coast Power & Light",1
 PagodaWest Games",1
 Pipeworks Software",1
 Playnet Inc.",1
 Point of View,1
 Point of View",1
 QLOC",1
 R3M Infografica,1
 Rage Software",1
 Rebellion Developments",1
 Red Storm Entertainment",1
 Redline Games",1
 Rockstar Leeds",1
 Ronin Entertainment",1
 SCI Games",1
 SKONEC",1
 Scott Holman",1
 Sega PC",1
 Sega of Europe",1
 Sega",1
 Sega-AM1",1
 Seibu Kaihatsu",1
 Shintarou Nakaoka",1
 Silver Sphere Studios",1
 Sledgehammer Games,1
 Smilebit",1
 Southend Interactive",1
 Starsky Wong",1
 Strangelite",1
 Stray Bullet Games",1
 Streamline Studios",1
 Success",1
 TKO Software",1
 TOSE",1
 TT Fusion",1
 TeamTNT,1
 The Fizz Factor,1
 Three Donkeys LLC",1
 Threewave Software",1
 Timeline Interactive,1
 Trecision",1
 Typhoon Games",1
 Ubisoft Annecy,1
 Ubisoft Annecy",1
 Ubisoft Kyiv",1
 Ubisoft Milan",1
 Ubisoft Montreal,1
 VR-1 Japan,1
 Vicarious Visions",1
 Virtual Playground",1
 Wanadoo Edition",1
 Westlake Interactive",1
 Westwood Studios",1
 Wizards of the Coast",1
 Zonic",1
 cdv Software Entertainment",1
 id Software",1
"3DO,1
"777 Studios,1
"ASC Games,1
"Actoz Soft,1
"Alchemist,1
"Alt1,1
"Arcane Kids,1
"Artifact Entertainment,1
"Audiosurf,1
"Autoklub Rijeka,1
"BMG Interactive,1
"Beijing Perfect World,1
"Bethesda Softworks,1
"Big Fish Games,1
"BigBen Interactive,1
"Black Label Games,1
"BlackBean Games,1
"BlackStar Interactive,1
"Bold Games,1
"Broderbund,1
"CCR International,1
"CD Brothers,1
"CD Projekt,1
"CDV Software,1
"Canal+ Multimedia,1
"Capcom,1
"Chronic Logic,1
"Codemasters Online Gaming,1
"Compile Heart,1
"Continuum Entertainment,1
"Corel Corporation,1
"Creat Studios,1
"Cryo Interactive,1
"CyberFront,1
"Data Design Interactive,1
"Davidson & Associates,1
"Destination Software,1
"Digital Integration Ltd.,1
"DreamCatcher Games,1
"Dreamcatcher Interactive,1
"EON Digital Entertainment,1
"Edmark,1
"Encore,1
"Excellents Japan,1
"GMX media,1
"GOA,1
"GTE Entertainment,1
"Gamebank,1
"Gamecock Media Group,1
"Gathering of Developers,1
"Got Game,1
"Grey Box,1
"HD Publishing,1
"Happy Digi,1
"HeadGames Publishing,1
"Idea Games,1
"Imagineer,1
"Interactive Magic,1
"Inti Creates,1
"Invictus Games,1
"JAST,1
"JoWooD Productions,1
"JoWood,1
"JoWood Productions,1
